,Rho_StrLen_VarFreq,P_StrLen_VarFreq,Rho_Freq_StrLen,P_Freq_StrLen,Rho_Freq_VarStrLen,P_Freq_VarStrLen,Rho_Freq_MeanStrLen,P_Freq_MeanStrLen,Fisher_z_Freq_VarStrLen_MeanStrLen,Fisher_p_Freq_VarStrLen_MeanStrLen
Czech random,-0.8059217107893103,9.386549860652778e-05,-0.2980203167831804,0.0,-0.6741889091801958,0.00011530363073176519,-0.8675370568877016,4.3237062761727266e-17,2.0322064505622315,0.04213276015315448
Croatian random,-0.8546298361646082,1.2484194692142917e-05,-0.3256301758357316,0.0,-0.4515748671340975,0.003040443093531017,-0.8962060431457122,8.882708966156826e-22,4.59584179167914,4.310056451739541e-06
Greek random,-0.7901613791877953,9.55068618751089e-05,-0.5343905544675206,0.0,-0.4465608344709563,0.0030319572296003735,-0.9153538054376374,3.4674036949111325e-24,5.174441267946753,2.285939999513431e-07
Lukpa random,-0.8546298361646082,1.2484194692142917e-05,-0.5382190472391173,0.0,-0.4827843206982439,0.00014268158335317704,-0.8714015504992246,5.0557099002756725e-28,4.656880022273118,3.210374050377496e-06
Quichua random,-0.721973032244652,0.00010054032247713531,-0.14726317958807952,0.0,-1.0,0.0,-0.7,0.1881204043741873,inf,0.0
Zulu random,-0.720604362989212,0.00010515118563016819,-0.12225670684803847,0.0,-0.9411239481143202,0.0050975405648614755,-0.8728715609439694,0.004659214943993945,0.5515277236139418,0.5812719672352293
Turkish random,-0.7977240352174656,1.4796915405948722e-05,-0.2633520279509365,0.0,-0.6261529429882291,0.0008130965129052449,-0.8971509987253098,1.5719368223923849e-12,2.5735008293169748,0.010067540560438015
Vietnamese random,-0.8633970960424556,0.0006163160723566311,-0.4298843003805238,0.0,-0.4787982189258791,0.017933037466175653,-0.9666062991783779,4.2637021304161705e-15,4.970586529594426,6.67506626861325e-07
Paite random,-0.8395536678480481,1.3175276826489147e-05,-0.5125825627264959,0.0,-0.48878889641701273,0.0005674580614279878,-0.8917194539973147,7.646193190029597e-27,4.647911446831084,3.3531279561849203e-06
Latin random,-0.787549275454943,0.00010450976015730785,-0.4002874911050689,0.0,-0.48638591423049116,0.0012625955947703994,-0.07138328908009553,0.6334971354099039,2.076299728342029,0.037866238424708376
Jakalteko random,-0.7608859102526822,9.80194262437067e-05,-0.48981053545423836,0.0,-0.5681159795084881,0.00019875010861621916,-0.919240405045209,9.58403978608218e-25,4.359561890858764,1.3032309239546791e-05
English random,-0.870260272089029,1.1693859325274368e-05,-0.57753935920947,0.0,-0.49370210196118863,0.0005681934116344117,-0.9027936290990941,2.338393590522954e-27,4.834596008591817,1.3341630293872697e-06
Italian random,-0.7472894743280936,9.899220698926621e-05,-0.4247472878971056,0.0,-0.43701208572828554,0.003016190519018393,-0.8895395406644916,4.129189958369673e-23,4.725346136939098,2.2972371811480485e-06
Barasana random,-0.65840529838832,0.00010330458107732753,-0.3053692335824454,0.0,-0.8087363547065555,4.710078615174841e-10,-0.8052452465031941,8.775811576650405e-15,0.04702050336067633,0.9624968862819916
Cebuano random,-0.7589095832130648,0.0001047263634657765,-0.46813051647903753,0.0,-0.4041321612076422,0.002965680240115579,-2.5761296790258754e-05,0.9998374994871725,2.2420023866799883,0.024961218054515122
Wolaytta random,-0.6881164679792755,0.00010218005074700594,-0.1662362151827132,0.0,-0.6856601710248819,0.0006016829212639346,-0.8945837646888178,4.382052241373979e-13,2.0524196624802933,0.04012889525554031
Hebrew random,-0.6317539727139919,0.03706149084545221,-0.3639196133899318,0.0,-0.7220289745610748,0.00014831403242668943,-0.721973032244652,0.00010054032247713531,0.0003647735274057156,0.9997089528407479
Dutch random,-0.8092531465551756,1.5522691746956274e-05,-0.5268076239743424,0.0,-0.5826336783367613,2.6787865455471055e-05,-0.9109525221280396,1.8226399183535675e-27,4.390661979233906,1.1300609663367212e-05
German random,-0.7420758268327813,0.00011752116388610959,-0.5811258433191485,0.0,-0.6721638824961986,6.5121233141259e-05,-0.8373924486255074,7.950148464897291e-09,1.4473977846843977,0.1477855458608277
Danish random,-0.7977240352174656,1.4796915405948722e-05,-0.5977213636495576,0.0,-0.41557680593682444,0.0029826154706698465,-0.9007342957435982,4.699739244554482e-27,5.430952887949457,5.605393260665892e-08
Somali random,-0.721973032244652,0.00010054032247713531,-0.3786860712008851,0.0,-0.43246086284421514,0.0030088540943845844,-0.8853715513177413,2.69392821862165e-22,4.674018536234744,2.9536265628848923e-06
Afrikaans random,-0.7751626880742236,9.687219691882218e-05,-0.5513101948389396,0.0,-0.42376773524185085,0.002995154494986574,-0.9041594829615904,5.91936045585308e-25,5.2875380637484755,1.2397356963234074e-07
French random,-0.7901613791877953,9.55068618751089e-05,-0.36982588253976795,0.0,-0.42804837176691796,0.003001849403684414,-0.8925230710846235,8.171000371757379e-24,4.937514610138696,7.912448050095833e-07
Estonian random,-0.7343319176845863,9.982389978382564e-05,-0.3651241131824403,0.0,0.2443149976904871,0.12369827215154403,-0.915422604469425,2.1136570685276806e-21,8.370624865448145,0.0
Hungarian random,-0.7343319176845863,9.982389978382564e-05,-0.26598782740676136,0.0,-0.4621285027310447,0.0030587810166357106,-0.8909722890721211,1.5103201390159543e-21,4.352543580541368,1.3456711134507415e-05
Dinka random,-0.8398554297360603,8.941396900151671e-05,-0.623752771560399,0.0,-0.3902432772613901,0.002946017052372827,-0.8703257103858016,5.997950762108124e-27,5.220550219303356,1.7839232269167837e-07
Achuar random,-0.7607204822889371,1.594998370990974e-05,-0.1720631340541065,0.0,-0.6794760096505654,0.0009835251170327943,-0.6626493062694669,0.0003070291212764127,0.09481485387488377,0.9244618883405267
Basque random,-0.7455515918296562,0.00010486571756751064,-0.25463066424340985,0.0,-0.95150257112482,0.00027489323630599757,-0.9574271077563381,5.027927841344687e-05,0.11008895947653373,0.9123388239967172
Aguaruna random,-0.720604362989212,0.00010515118563016819,-0.1684305758659885,0.0,-0.7862453931068967,0.004107170978877596,-0.7862453931068967,0.004107170978877596,0.0,1.0
Chinantec random,-0.7751626880742236,9.687219691882218e-05,-0.33133688878740153,0.0,-0.5860676132669665,0.00011057029645855667,-0.8612138237544934,6.229037665101596e-25,3.0787385628283634,0.002078790184156354
Romanian random,-0.870260272089029,1.1693859325274368e-05,-0.4001021556111171,0.0,-0.3902432772613901,0.002946017052372827,-0.8572790283190688,3.39370902552434e-24,4.879558183369188,1.0632375411212536e-06
Maori random,-0.8395536678480481,1.3175276826489147e-05,-0.503797229715118,0.0,-0.4974977060497328,4.16226479083305e-06,-0.8607429223516034,9.592865174983739e-34,4.97148491303592,6.644203556227524e-07
Amuzgo random,-0.7493587001820033,1.626195399310412e-05,-0.270217503794665,0.0,-0.44170942752338027,0.003023882747680724,-0.8950491998834118,1.0367470123051467e-22,4.747708711892227,2.057340444894251e-06
Albanian random,-0.7901613791877953,9.55068618751089e-05,-0.4838530551899768,0.0,-0.43246086284421514,0.0030088540943845844,-0.8895153474464712,1.5326208306328784e-26,4.927255395892764,8.339272132840136e-07
Zarma random,-0.7901613791877953,9.55068618751089e-05,-0.5021840298712993,0.0,-0.3838138243605603,0.002937235682074399,-0.860125357775271,4.20611016712028e-25,5.0639748433648695,4.106038558049363e-07
Romani random,-0.870260272089029,1.1693859325274368e-05,-0.4140624659433015,0.0,-0.4078416869680676,0.0029710958098745424,-0.881341522376354,1.6750268758244828e-23,5.0012772943121675,5.695172899944367e-07
Portuguese random,-0.8059217107893103,9.386549860652778e-05,-0.36885009895249404,0.0,-0.47037385496015316,0.004996483386014038,-0.8995258277108417,3.6838690972797904e-22,4.284646103743071,1.830302974359377e-05
Nahuatl random,-0.610531666846674,0.0005599159178775487,-0.2099818187425356,0.0,-0.5622607119174363,0.0008102752364528765,-0.585322690974921,0.00011337166360054288,0.13694794543247507,0.8910719408456764
Slovene random,-0.7472894743280936,9.899220698926621e-05,-0.33368381666220465,0.0,-0.43246086284421514,0.0030088540943845844,-0.8840323979339347,8.120403889772804e-25,4.757095841953768,1.963979382901826e-06
Finnish random,-0.6235279186382605,0.0006659483949575388,-0.2461844227579541,0.0,-0.5058311009015718,0.003142023087669417,-0.6085294760726876,0.00010510507719962112,0.5829976724268312,0.5598948671109822
Q'eqchi' random,-0.7472894743280936,9.899220698926621e-05,-0.4046316625292234,0.0,-0.5953932426813158,5.096199463491823e-06,-0.8647786345588421,7.74340293893877e-24,3.347361241687472,0.0008158481979425591
Aukan random,-0.9368150178249588,7.128971801425411e-06,-0.5304030563554318,0.0,-0.4288087739947456,0.00023675917575115204,-0.8369578636481624,2.1097512175807644e-27,4.7159181482907,2.406231624396682e-06
K'iche' random,-0.8224783208299743,9.187010781272152e-05,-0.5249053694061371,0.0,-0.3838138243605603,0.002937235682074399,-0.8808427918195619,1.050836660681331e-27,5.551918970675923,2.825505673875739e-08
Indonesian random,-0.7101745039685363,0.00010116169033304735,-0.3288146152233319,0.0,-0.8411950944351021,6.413601013490952e-06,-0.8522416262267903,1.8411844162621097e-06,0.11208213176440257,0.9107582849326559
Cakchiquel random,-0.7751626880742236,9.687219691882218e-05,-0.4632621257359131,0.0,-0.32153298220651727,0.015674328825393016,-0.8873265801456705,5.638312351655765e-30,6.118733212901746,9.43221722948806e-10
Xhosa random,-0.66087736629471,0.0005970585207496922,-0.19047556095387533,0.0,-0.6651330399133047,0.0035733306662441584,-0.6496804009072564,0.0035204867858440593,0.0732431379571803,0.94161263942331
Esperanto random,-0.7283156983410068,0.0006093597015028422,-0.5354737436554169,0.0,-0.4041321612076422,0.002965680240115579,-0.6821867912627956,3.707409122082803e-09,2.0597040869879204,0.03942683847467743
