,QtyOfTokens,StrLen_1,StrLen_2,StrLen_3,StrLen_4,StrLen_5,StrLen_6,StrLen_7,StrLen_8,StrLen_9,StrLen_10,StrLen_11,StrLen_12,StrLen_13,StrLen_14,StrLen_15,StrLen_16,StrLen_17,StrLen_18,StrLen_19,StrLen_20,StrLen_21,StrLen_22,StrLen_23,StrLen_24,StrLen_25,StrLen_26,StrLen_27,StrLen_28,StrLen_29,StrLen_30,StrLen_31,StrLen_32,StrLen_33,StrLen_34,StrLen_35
Albanian,174290.0,14527.0,41739.0,31581.0,19741.0,21454.0,16541.0,11326.0,7516.0,4815.0,2631.0,1293.0,749.0,230.0,74.0,46.0,17.0,4.0,1.0,5.0,,,,,,,,,,,,,,,,
Tagalog,189321.0,360.0,54909.0,24076.0,20699.0,24646.0,16697.0,10078.0,13597.0,8840.0,5087.0,4053.0,2347.0,1594.0,934.0,807.0,327.0,137.0,101.0,12.0,18.0,,2.0,,,,,,,,,,,,,
Malagasy,169837.0,355.0,31073.0,34702.0,17977.0,15184.0,22234.0,13823.0,10055.0,8601.0,5443.0,3696.0,2209.0,1564.0,690.0,673.0,240.0,325.0,272.0,121.0,123.0,191.0,138.0,64.0,48.0,14.0,10.0,6.0,2.0,4.0,,,,,,
Achuar,174474.0,187.0,9770.0,5586.0,28541.0,26623.0,17006.0,24086.0,14621.0,14786.0,10934.0,7973.0,5676.0,3110.0,2048.0,1507.0,828.0,561.0,285.0,171.0,87.0,48.0,25.0,12.0,2.0,1.0,,,,,,,,,,
Croatian,130495.0,12659.0,25572.0,14499.0,19476.0,16696.0,13835.0,10397.0,7276.0,4705.0,2594.0,1526.0,654.0,395.0,126.0,66.0,12.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,
Cakchiquel,314530.0,13253.0,81642.0,53243.0,24093.0,50662.0,28431.0,26431.0,13693.0,10521.0,6837.0,3160.0,1517.0,589.0,260.0,131.0,38.0,11.0,15.0,3.0,,,,,,,,,,,,,,,,
Creole,225617.0,11832.0,72398.0,53304.0,40295.0,21296.0,18068.0,4215.0,2527.0,1174.0,225.0,203.0,46.0,21.0,5.0,8.0,,,,,,,,,,,,,,,,,,,,
K'iche',271538.0,7820.0,73849.0,61408.0,32207.0,35140.0,15438.0,21241.0,10628.0,6651.0,3870.0,1858.0,928.0,277.0,140.0,73.0,10.0,,,,,,,,,,,,,,,,,,,
Hungarian,141773.0,13931.0,24396.0,11395.0,14707.0,20085.0,13022.0,11182.0,9991.0,6571.0,5641.0,4445.0,2556.0,1660.0,984.0,596.0,283.0,146.0,115.0,44.0,10.0,6.0,6.0,,1.0,,,,,,,,,,,
Danish,166460.0,4819.0,32848.0,48334.0,23461.0,21701.0,13061.0,8192.0,5098.0,3564.0,2280.0,1290.0,802.0,379.0,290.0,146.0,74.0,85.0,15.0,9.0,6.0,5.0,,,,,,,,,,,,1.0,,
Uspanteco,226075.0,6961.0,24092.0,40754.0,28107.0,37097.0,32085.0,21656.0,13956.0,8336.0,7348.0,3032.0,1390.0,657.0,368.0,145.0,65.0,17.0,7.0,1.0,,,,1.0,,,,,,,,,,,,
Spanish,167479.0,12810.0,40096.0,24998.0,18986.0,20511.0,15661.0,11649.0,10460.0,5379.0,3505.0,1724.0,1017.0,420.0,162.0,83.0,11.0,4.0,3.0,,,,,,,,,,,,,,,,,
Polish,139959.0,16622.0,14091.0,19973.0,15791.0,18881.0,15254.0,11456.0,9650.0,7147.0,4847.0,2819.0,1793.0,786.0,436.0,206.0,147.0,24.0,23.0,12.0,1.0,,,,,,,,,,,,,,,
Lukpa,218583.0,16192.0,69343.0,41587.0,27628.0,24437.0,17421.0,9651.0,7231.0,2871.0,1435.0,414.0,162.0,69.0,21.0,19.0,101.0,,1.0,,,,,,,,,,,,,,,,,
Zulu,96578.0,13.0,1108.0,1609.0,9666.0,17315.0,11685.0,12180.0,10821.0,8354.0,7173.0,6167.0,3996.0,2660.0,1796.0,991.0,484.0,260.0,171.0,82.0,23.0,13.0,6.0,4.0,,1.0,,,,,,,,,,
Icelandic,156464.0,4974.0,28983.0,27801.0,31365.0,27018.0,14394.0,7955.0,5612.0,3034.0,1983.0,1406.0,799.0,457.0,280.0,200.0,86.0,35.0,49.0,20.0,10.0,2.0,,1.0,,,,,,,,,,,,
Campa (Axininca),122607.0,105.0,2505.0,6263.0,6691.0,8143.0,9838.0,14368.0,8133.0,7423.0,11491.0,6336.0,5178.0,5918.0,5411.0,4799.0,3646.0,3508.0,2828.0,2464.0,2141.0,1513.0,1151.0,884.0,624.0,496.0,294.0,208.0,105.0,65.0,41.0,18.0,13.0,2.0,2.0,2.0
Aukan,306734.0,41789.0,89316.0,47531.0,69755.0,27627.0,14646.0,8168.0,5079.0,2054.0,532.0,214.0,23.0,,,,,,,,,,,,,,,,,,,,,,,
Tachelhit,104830.0,,507.0,9078.0,16633.0,19636.0,16602.0,14047.0,10415.0,6553.0,4158.0,2752.0,1685.0,1023.0,695.0,420.0,271.0,160.0,83.0,49.0,26.0,18.0,6.0,5.0,,6.0,1.0,,1.0,,,,,,,
